Track name
GTXISYE82017-V000200
GTXISYE82017-V000800
GTXISYE82017-V001500
GTXISYE82017-V002800
GTXISYE82017-V004100
GTXISYE82017-V006100
GTXISYE82017-V017600
GTXISYE82017-V018100
GTXISYE82017-V018600
GTXISYE82017-V002200
GTXISYE82017-V005100
GTXISYE82017-V005700
GTXISYE82017-V004200
GTXISYE82017-V002500
GTXISYE82017-V004800
GTXISYE82017-V003400
GTXISYE82017-V004500
GTXISYE82017-V003200
GTXISYE82017-V003800
GTXISYE82017-V002600
GTXISYE82017-V004700
GTXISYE82017-V004900
GTXISYE82017-V005200
GTXISYE82017-V017300
GTXISYE82017-V000900
GTXISYE82017-V017800
GTXISYE82017-V007900
GTXISYE82017-V005600
OMSA_M7_L5_ARIMA_ver2
OMSA_M7_L6_GARCH_ver3
